# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	66987
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=267 d=2.50639 t=66987
yi bing 	一并	c=1 d=1.64202e-99 t=66987
yi bo 	一波	c=4 d=0.117068 t=66987
yi bu 	异步	c=5 d=4.73018e-44 t=66987
yi bu fen 	一部分	c=2 d=5.20221e-48 t=66987
yi ceng 	一层	c=2 d=1.24498e-19 t=66987
yi cha 	一查	c=0 d=6.07919e-117 t=66987
yi cha gong neng 	一查功能	c=1 d=6.10966e-116 t=66987
yi cha na 	一刹那	c=0 d=0.0100259 t=66987
yi cha na ge 	一刹那个	c=2 d=0.100761 t=66987
yi chang 	一场	c=3 d=0.0605068 t=66987
yi chang 	宜昌	c=1 d=6.17796e-41 t=66987
yi chang 	异常	c=87 d=2.35022 t=66987
yi chang le 	异常了	c=2 d=1.30829e-94 t=66987
yi chu 	一处	c=2 d=3.73276e-84 t=66987
yi chu 	溢出	c=2 d=4.69645e-80 t=66987
yi chu 	移除	c=1 d=2.13661e-79 t=66987
yi chuan 	遗传	c=1 d=7.73737e-130 t=66987
yi ci 	一次	c=21 d=2.52827e-05 t=66987
yi ci 	依次	c=1 d=6.01972e-118 t=66987
yi da chuan 	一大串	c=2 d=2.3379e-50 t=66987
yi da dui 	一大堆	c=3 d=4.05921e-41 t=66987
yi da jie 	一大截	c=1 d=1.56794e-56 t=66987
yi da pian 	一大片	c=1 d=4.34304e-42 t=66987
yi dai 	一带	c=1 d=0.460704 t=66987
yi dao 	一刀	c=1 d=2.26081e-126 t=66987
yi deng 	一等	c=1 d=2.3473e-09 t=66987
yi dian 	一点	c=21 d=3.38132e-09 t=66987
yi dian dian 	一点点	c=2 d=2.15625e-69 t=66987
yi ding 	一定	c=12 d=3.73208e-09 t=66987
yi ding le 	一定了	c=1 d=4.90109e-23 t=66987
yi ding yao 	一定要	c=1 d=0.000587285 t=66987
yi dong 	移动	c=13 d=9.2724e-24 t=66987
yi dong duan 	移动端	c=68 d=1.4962e-05 t=66987
yi dong gu dan 	移动孤单	c=1 d=4.40178e-53 t=66987
yi du 	一度	c=1 d=6.77661e-129 t=66987
yi du 	已读	c=2 d=3.10063e-107 t=66987
yi duan 	一段	c=2 d=1.71484e-43 t=66987
yi dui 	一堆	c=4 d=1.75999e-33 t=66987
yi dun 	一顿	c=2 d=4.15193e-42 t=66987
yi fen 	一份	c=7 d=0.00557201 t=66987
yi fen 	一分	c=1 d=5.72669e-31 t=66987
yi fen qian 	一分钱	c=2 d=1.5802e-30 t=66987
yi fen zhong 	一分钟	c=1 d=4.71934e-49 t=66987
yi fu 	一副	c=2 d=7.63745e-36 t=66987
yi fu 	衣服	c=1 d=7.7142e-36 t=66987
yi gai 	一概	c=1 d=1.04113e-33 t=66987
yi gan 	乙肝	c=3 d=0.00358858 t=66987
yi ge 	一个	c=274 d=2.02638 t=66987
yi ge er yue 	一个二月	c=1 d=1.11529e-19 t=66987
yi ge ren 	一个人	c=5 d=0.65377 t=66987
yi ge xing qi 	一个星期	c=1 d=2.83907e-129 t=66987
yi ge yuan su 	一个元素	c=1 d=1.54992e-67 t=66987
yi ge yue 	一个月	c=12 d=1.83441e-08 t=66987
yi gong 	一共	c=1 d=4.45526e-48 t=66987
yi hang 	一行	c=6 d=5.93201e-29 t=66987
yi hang zi 	一行字	c=0 d=7.652e-30 t=66987
yi hao 	一号	c=1 d=3.97777e-126 t=66987
yi he 	一盒	c=1 d=9.98267e-10 t=66987
yi hou 	以后	c=16 d=0.00307042 t=66987
yi hui 	一会	c=4 d=1.80297e-52 t=66987
yi hui shi 	一回事	c=1 d=9.65903e-34 t=66987
yi hun 	已婚	c=0 d=1.61312e-97 t=66987
yi ji 	一级	c=8 d=0.000106025 t=66987
yi ji 	以及	c=12 d=0.0124007 t=66987
yi jia 	一家	c=1 d=3.74266e-27 t=66987
yi jia 	一架	c=1 d=8.37263e-29 t=66987
yi jian 	一键	c=5 d=2.38175e-33 t=66987
yi jing 	已经	c=77 d=1.93502 t=66987
yi jing fa le 	已经发了	c=1 d=6.08974e-107 t=66987
yi ju 	一句	c=3 d=2.3837e-33 t=66987
yi ju hua 	一句话	c=1 d=1.48484e-33 t=66987
yi kai shi 	一开始	c=6 d=5.74463e-09 t=66987
yi kan 	一看	c=2 d=5.93452e-68 t=66987
yi kou 	一口	c=1 d=1.29183e-130 t=66987
yi ku 	一哭	c=1 d=5.35626e-09 t=66987
yi kua 	一跨	c=0 d=2.96751e-33 t=66987
yi kuai 	一块	c=5 d=1.37971e-22 t=66987
yi kuai qian 	一块钱	c=2 d=2.62133e-89 t=66987
yi kuan 	一款	c=2 d=0.0120342 t=66987
yi lai 	以来	c=1 d=1.38861e-127 t=66987
yi lai 	依赖	c=9 d=8.65147e-51 t=66987
yi lai yi hui 	一来一回	c=1 d=0.00130703 t=66987
yi lian chuan 	一连串	c=1 d=4.19723e-52 t=66987
yi liao 	医疗	c=2 d=6.87177e-24 t=66987
yi liao qi xie 	医疗器械	c=1 d=6.9382e-24 t=66987
yi lu 	一路	c=2 d=1.23578e-20 t=66987
yi lun 	一轮	c=5 d=3.7076e-105 t=66987
yi ma 	姨妈	c=0 d=0.0316637 t=66987
yi miao 	一秒	c=2 d=4.07665e-63 t=66987
yi miao 	疫苗	c=3 d=8.58025e-34 t=66987
yi ming 	一名	c=2 d=3.90217e-18 t=66987
yi mu yi yang 	一模一样	c=3 d=9.63573e-35 t=66987
yi nian 	一年	c=7 d=5.92295e-23 t=66987
yi ou 	遗欧	c=0 d=1.32165e-76 t=66987
yi pi gu zhai 	一屁股债	c=1 d=3.5192e-38 t=66987
yi pian 	一片	c=1 d=2.06552e-122 t=66987
yi qi 	一期	c=1 d=1.80473e-93 t=66987
yi qi 	一起	c=22 d=0.382893 t=66987
yi qi le 	一起乐	c=1 d=9.54573e-101 t=66987
yi qi shang 	一起上	c=1 d=4.41994e-72 t=66987
yi qian 	以前	c=26 d=0.000349153 t=66987
yi qian bu shi 	以前不是	c=1 d=9.86087e-42 t=66987
yi qian duo 	一千多	c=1 d=4.00874e-129 t=66987
yi qiang 	一枪	c=1 d=3.3918e-16 t=66987
yi qie 	一切	c=3 d=0.0110536 t=66987
yi ran 	依然	c=1 d=2.51177e-41 t=66987
yi shang 	以上	c=1 d=4.40239e-84 t=66987
yi sheng 	一声	c=1 d=3.52185e-135 t=66987
yi sheng 	一生	c=4 d=1.04743e-129 t=66987
yi sheng 	医生	c=49 d=0.0331473 t=66987
yi sheng jun 	益生菌	c=1 d=9.49581e-10 t=66987
yi sheng shuo 	医生说	c=3 d=2.24585e-48 t=66987
yi shu lei 	艺术类	c=2 d=7.89944e-41 t=66987
yi shui 	一睡	c=1 d=5.96205e-93 t=66987
yi shuo dao 	一说到	c=1 d=1.02354e-09 t=66987
yi si 	意思	c=18 d=0.600496 t=66987
yi si le 	意思了	c=1 d=5.04454e-127 t=66987
yi sun huai 	已损坏	c=1 d=1.29703e-89 t=66987
yi tai 	一台	c=3 d=1.28136e-05 t=66987
yi tai 	一胎	c=1 d=4.32096e-129 t=66987
yi tao 	一套	c=5 d=9.32046e-26 t=66987
yi tian 	一天	c=9 d=1.70044 t=66987
yi tiao 	一条	c=6 d=0.17552 t=66987
yi wan 	一万	c=7 d=0.603506 t=66987
yi wan cheng 	已完成	c=1 d=3.7627e-31 t=66987
yi wan fu weng 	亿万富翁	c=1 d=0.726149 t=66987
yi wan shang 	一晚上	c=3 d=1.02581e-35 t=66987
yi wang wu qian 	一往无前	c=3 d=4.475e-12 t=66987
yi wei 	以为	c=9 d=0.860708 t=66987
yi wen 	疑问	c=1 d=3.33768e-62 t=66987
yi xi 	依稀	c=0 d=1.42682e-65 t=66987
yi xia 	一下	c=205 d=2.56316 t=66987
yi xia 	以下	c=9 d=0.625002 t=66987
yi xia wu 	一下午	c=1 d=1.51984e-13 t=66987
yi xia zi 	一下子	c=1 d=1.11823e-138 t=66987
yi xiao shi 	一小时	c=1 d=4.79067e-49 t=66987
yi xie 	一些	c=17 d=5.75852e-08 t=66987
yi xue 	医学	c=1 d=4.68702e-27 t=66987
yi ya gao 	以牙膏	c=1 d=1.70536e-15 t=66987
yi yang 	一样	c=44 d=0.582748 t=66987
yi ye 	一页	c=6 d=6.26879e-95 t=66987
yi yi 	意义	c=4 d=0.0235177 t=66987
yi yu 	抑郁	c=1 d=9.89649e-55 t=66987
yi yuan 	医院	c=33 d=0.0112769 t=66987
yi yuan 	意愿	c=1 d=4.73655e-33 t=66987
yi yuan li 	医院里	c=1 d=3.03529e-33 t=66987
yi yue 	一月	c=1 d=5.46911e-19 t=66987
yi zhang 	一张	c=5 d=0.118245 t=66987
yi zhang ka 	一张卡	c=1 d=0.00433948 t=66987
yi zhang pai 	一张牌	c=2 d=9.77902e-109 t=66987
yi zheng kuai 	一整块	c=1 d=7.58877e-50 t=66987
yi zheng tao 	一整套	c=2 d=3.90519e-21 t=66987
yi zhi 	一直	c=56 d=0.0925506 t=66987
yi zhi 	一致	c=7 d=0.465334 t=66987
yi zhong 	一种	c=8 d=3.79729e-21 t=66987
yi zhou 	一周	c=3 d=2.09945e-107 t=66987
yi zhou yi zhou 	一周一周	c=1 d=1.91263e-129 t=66987
yi zhuang 	一幢	c=1 d=1.9696e-92 t=66987
yi zi 	椅子	c=2 d=4.8982e-123 t=66987
yi zou 	移走	c=1 d=6.19145e-96 t=66987
yi zu 	一组	c=2 d=4.08138e-105 t=66987
yin 	因	c=1 d=5.42854e-49 t=66987
yin 	尹	c=1 d=1.43788e-96 t=66987
yin 	引	c=1 d=7.17242e-91 t=66987
yin 	音	c=1 d=8.11386e-42 t=66987
yin can 	阴惨	c=1 d=1.68972e-83 t=66987
yin cang 	隐藏	c=42 d=0.481909 t=66987
yin dao 	引导	c=3 d=3.91214e-48 t=66987
yin gai 	因改	c=31 d=2.89583e-06 t=66987
yin hang 	银行	c=7 d=0.591555 t=66987
yin huan 	隐患	c=3 d=4.52876e-125 t=66987
yin jin 	引进	c=1 d=2.26141e-41 t=66987
yin liang 	音量	c=2 d=6.13232e-42 t=66987
yin liao 	饮料	c=1 d=8.86174e-138 t=66987
yin liu 	引流	c=1 d=2.28959e-69 t=66987
yin pin 	音频	c=3 d=0.000122802 t=66987
yin qian 	印前	c=1 d=1.33013e-62 t=66987
yin qing 	引擎	c=6 d=0.56836 t=66987
yin ru 	引入	c=6 d=2.57038e-77 t=66987
yin shi 	饮食	c=1 d=6.93421e-76 t=66987
yin shi pin 	音视频	c=1 d=4.33035e-37 t=66987
yin si 	隐私	c=5 d=1.67068e-38 t=66987
yin wei 	因为	c=45 d=0.318479 t=66987
yin wen 	引文	c=4 d=5.27096e-26 t=66987
yin xiang 	印象	c=3 d=3.3396e-10 t=66987
yin xiao 	音效	c=2 d=7.99306e-42 t=66987
yin xing 	阴性	c=1 d=2.55946e-27 t=66987
yin xing 	隐形	c=1 d=3.43315e-129 t=66987
yin yong 	引用	c=6 d=1.16375e-42 t=66987
yin yue 	音乐	c=2 d=0.0428521 t=66987
yin zhang 	印章	c=0 d=0.00761538 t=66987
ying 	应	c=1 d=1.36668e-28 t=66987
ying 	硬	c=2 d=0.0385808 t=66987
ying 	莹	c=3 d=0.628135 t=66987
ying 	营	c=1 d=3.87862e-35 t=66987
ying dui 	应对	c=1 d=2.59055e-22 t=66987
ying gai 	应该	c=258 d=2.70885 t=66987
ying gang a 	硬刚啊	c=1 d=2.29388e-91 t=66987
ying guang bang 	荧光棒	c=3 d=0.0785818 t=66987
ying guo 	英国	c=2 d=1.78074e-102 t=66987
ying hua 	樱花	c=1 d=0.532592 t=66987
ying jian 	硬件	c=2 d=0.000117979 t=66987
ying pan 	硬盘	c=7 d=1.03112e-37 t=66987
ying pan li 	硬盘里	c=1 d=1.30895e-79 t=66987
ying shi 	影视	c=3 d=4.14124e-37 t=66987
ying shou 	营收	c=20 d=1.75181 t=66987
ying te er 	英特尔	c=1 d=0.222017 t=66987
ying wei da 	英伟达	c=1 d=4.85893e-39 t=66987
ying wen 	英文	c=75 d=0.778801 t=66987
ying xiang 	影响	c=10 d=7.69028e-33 t=66987
ying xiao 	营销	c=1 d=1.13686e-09 t=66987
ying xiong 	英雄	c=3 d=2.11722e-60 t=66987
ying yang 	营养	c=4 d=6.79272e-10 t=66987
ying yong 	应用	c=58 d=1.17792 t=66987
ying yong de 	应用的	c=1 d=1.06271e-39 t=66987
yo 	哟	c=3 d=2.21241e-48 t=66987
yo gai 	哟改	c=1 d=1.39368e-111 t=66987
yong 	永	c=1 d=4.8385e-107 t=66987
yong 	用	c=203 d=0.390757 t=66987
yong bu dao 	用不到	c=1 d=3.2534e-114 t=66987
yong bu liao 	用不了	c=1 d=2.32988e-39 t=66987
yong bu shang 	用不上	c=1 d=8.14621e-30 t=66987
yong dao 	用到	c=4 d=0.0169922 t=66987
yong dao le 	用到了	c=2 d=2.14995e-64 t=66987
yong de 	用的	c=15 d=0.839457 t=66987
yong fa 	用法	c=1 d=2.31819e-68 t=66987
yong gan zhe 	勇敢者	c=1 d=5.53349e-39 t=66987
yong guo 	用过	c=1 d=1.25339e-10 t=66987
yong hu 	用户	c=248 d=4.06518 t=66987
yong hu duan 	用户端	c=1 d=6.27687e-22 t=66987
yong hui 	永辉	c=1 d=0.04573 t=66987
yong jiu 	永久	c=2 d=1.66784e-18 t=66987
yong lai 	用来	c=7 d=5.66103e-13 t=66987
yong le 	用了	c=1 d=0.00177315 t=66987
yong li 	用例	c=2 d=7.95813e-19 t=66987
yong li 	用力	c=1 d=4.01199e-21 t=66987
yong qing 	永清	c=1 d=3.33938e-68 t=66987
yong sha 	用啥	c=1 d=2.1186e-97 t=66987
yong shang 	用上	c=1 d=5.95355e-135 t=66987
yong shi 	勇士	c=2 d=4.18839e-137 t=66987
yong ta 	用它	c=1 d=2.89778e-17 t=66987
yong wo 	用我	c=1 d=3.41486e-125 t=66987
yong xia 	用下	c=1 d=6.59918e-111 t=66987
yong yong 	用用	c=1 d=0.00197932 t=66987
yong you 	拥有	c=5 d=1.02919e-15 t=66987
yong yu 	用于	c=3 d=0.00110822 t=66987
yong yuan 	永远	c=3 d=1.35514 t=66987
yong zhe ge 	用这个	c=1 d=9.07768e-39 t=66987
you 	又	c=45 d=0.718924 t=66987
you 	右	c=1 d=0.831104 t=66987
you 	有	c=391 d=3.44178 t=66987
you 	油	c=3 d=1.2035e-09 t=66987
you 	由	c=6 d=4.01556e-31 t=66987
you ban fa 	有办法	c=1 d=3.23563e-79 t=66987
you bi yao 	有必要	c=2 d=2.70878e-47 t=66987
you bian 	右边	c=1 d=2.7576e-110 t=66987
you bian 	邮编	c=1 d=9.0085e-96 t=66987
you bing 	有病	c=2 d=5.14169e-28 t=66987
you bu fen 	有部分	c=1 d=3.13646e-07 t=66987
you ce 	右侧	c=2 d=5.81008e-54 t=66987
you che 	油车	c=1 d=7.48518e-05 t=66987
you che 	邮车	c=1 d=7.4107e-05 t=66987
you dao li 	有道理	c=1 d=4.54327e-131 t=66987
you de 	有的	c=3 d=7.38756e-27 t=66987
you dei 	又得	c=1 d=7.10106e-91 t=66987
you dian 	优点	c=1 d=2.00024e-09 t=66987
you dian 	有点	c=28 d=0.00827108 t=66987
you dian man 	有点慢	c=3 d=1.34716e-94 t=66987
you dian re 	有点热	c=1 d=1.1687e-128 t=66987
you dian shi 	有点事	c=1 d=4.41017e-46 t=66987
you dian shi qing 	有点事情	c=1 d=1.59018e-104 t=66987
you dian wan er 	有点玩儿	c=1 d=2.30459e-87 t=66987
you dian xiang 	有点像	c=1 d=7.32651e-47 t=66987
you dian yuan 	有点远	c=1 d=3.00685e-128 t=66987
you du 	有毒	c=1 d=2.99246e-101 t=66987
you dui qi 	右对齐	c=1 d=4.22963e-113 t=66987
you duo shao 	有多少	c=1 d=6.40783e-59 t=66987
you en 	有恩	c=0 d=3.34824e-12 t=66987
you en ti 	有恩提	c=1 d=3.36503e-11 t=66987
you er 	幼儿	c=0 d=2.74899e-133 t=66987
you er xie 	幼儿写	c=1 d=2.76277e-132 t=66987
you er yuan 	幼儿园	c=1 d=1.75223e-128 t=66987
you ge 	有个	c=38 d=0.0126186 t=66987
you ge hu 	有个胡	c=1 d=0.126818 t=66987
you ge ren 	有个人	c=1 d=1.50013e-124 t=66987
you guan 	油管	c=1 d=5.8935e-104 t=66987
you guan xi 	有关系	c=2 d=2.83241e-72 t=66987
you guo nei 	由国内	c=0 d=6.54061e-66 t=66987
you ha 	有哈	c=1 d=3.245e-113 t=66987
you hai 	有害	c=1 d=8.04433e-29 t=66987
you hou 	油猴	c=1 d=2.07157e-127 t=66987
you hu 	游湖	c=1 d=5.2536e-46 t=66987
you hua 	优化	c=92 d=0.170333 t=66987
you ji ge 	有几个	c=1 d=2.3391e-56 t=66987
you jia zhi 	有价值	c=1 d=0.125556 t=66987
you jian 	邮件	c=1 d=4.96099e-107 t=66987
you jian tou 	右箭头	c=1 d=9.5675e-69 t=66987
you jing yan 	有经验	c=1 d=1.18866e-92 t=66987
you ke neng 	有可能	c=1 d=3.59495e-112 t=66987
you kong 	有空	c=7 d=8.60387e-26 t=66987
you kong de 	有空的	c=1 d=1.44829e-122 t=66987
you le 	有了	c=9 d=0.106459 t=66987
you le me 	有了么	c=1 d=2.20994e-123 t=66987
you li qi 	有力气	c=1 d=2.23679e-118 t=66987
you lin 	友邻	c=1 d=1.89172e-88 t=66987
you ling 	幽灵	c=1 d=1.97375e-58 t=66987
you me 	有么	c=3 d=4.75932e-60 t=66987
you me you 	有么有	c=2 d=5.47146e-102 t=66987
you mei 	优美	c=0 d=4.6352e-103 t=66987
you mei 	有没	c=1 d=4.47911e-52 t=66987
you mei yo 	优美哟	c=2 d=0.00163682 t=66987
you mei you 	有没有	c=32 d=0.00165327 t=66987
you nai 	有奶	c=1 d=6.31156e-28 t=66987
you qi ta ren 	有其他人	c=1 d=4.06751e-65 t=66987
you qian 	有钱	c=8 d=1.39889e-08 t=66987
you ren 	有人	c=9 d=8.44972e-40 t=66987
you sha 	有啥	c=10 d=1.39552e-09 t=66987
you sha yong 	有啥用	c=4 d=1.4854e-08 t=66987
you shang jiao 	右上角	c=1 d=6.22944e-21 t=66987
you sheng you yu 	优生优育	c=3 d=5.94139e-129 t=66987
you shi 	有事	c=3 d=7.9906e-09 t=66987
you shi hou 	有时候	c=3 d=3.23967e-132 t=66987
you shi hui 	有时会	c=1 d=1.63549e-111 t=66987
you shi jian 	有时间	c=2 d=3.08306e-99 t=66987
you wen ti 	有问题	c=10 d=1.9119e-51 t=66987
you wu 	有误	c=1 d=7.93832e-20 t=66987
you xi 	游戏	c=55 d=0.0801475 t=66987
you xi ba 	游戏吧	c=3 d=6.3264e-134 t=66987
you xi ji 	游戏机	c=1 d=2.30114e-40 t=66987
you xi jie 	游戏界	c=1 d=2.28966e-40 t=66987
you xi le 	有喜了	c=1 d=1.03619e-124 t=66987
you xi ming 	游戏名	c=1 d=1.40897e-63 t=66987
you xia jiao 	右下角	c=1 d=1.7131e-127 t=66987
you xian 	优先	c=5 d=0.45612 t=66987
you xian gong si 	有限公司	c=2 d=1.74714e-144 t=66987
you xian ji 	优先级	c=5 d=4.25776e-44 t=66987
you xiang 	邮箱	c=3 d=0.869697 t=66987
you xiao 	有效	c=11 d=1.91678 t=66987
you xiao qi 	有效期	c=18 d=0.922314 t=66987
you xie 	有些	c=15 d=2.80052e-56 t=66987
you xie ka 	有些卡	c=1 d=1.64369e-111 t=66987
you xie shi hou 	有些时候	c=1 d=5.07706e-85 t=66987
you xin 	有新	c=1 d=3.71489e-57 t=66987
you ya 	优雅	c=2 d=0.00631391 t=66987
you yao 	又要	c=7 d=1.6453e-05 t=66987
you yi ge 	有一个	c=1 d=9.33634e-46 t=66987
you yi si 	有意思	c=1 d=4.91999e-127 t=66987
you yi tian 	有一天	c=1 d=7.83238e-09 t=66987
you yi tiao 	有一条	c=1 d=1.32864e-137 t=66987
you yi xie 	有一些	c=2 d=9.26294e-12 t=66987
you yong 	有用	c=4 d=1.63766e-09 t=66987
you you qian 	又有钱	c=1 d=5.8923e-131 t=66987
you yu 	由于	c=3 d=9.22586e-53 t=66987
you yue gan 	优越感	c=1 d=1.2849e-08 t=66987
you za la 	有咋啦	c=1 d=0.0129715 t=66987
you zai 	又在	c=2 d=0.371577 t=66987
you zai 	有在	c=4 d=0.369723 t=66987
you zan 	有赞	c=1 d=5.45685e-22 t=66987
you zheng ce 	有政策	c=1 d=4.11819e-93 t=66987
you zi yuan 	有资源	c=1 d=6.74117e-38 t=66987
yu 	与	c=24 d=0.718924 t=66987
yu 	于	c=5 d=0.153355 t=66987
yu 	余	c=4 d=6.57666e-07 t=66987
yu 	育	c=2 d=2.15779e-30 t=66987
yu 	钰	c=2 d=1.03354e-86 t=66987
yu 	雨	c=2 d=4.75836e-87 t=66987
yu 	鱼	c=24 d=1.01895e-15 t=66987
yu ba 	鱼吧	c=187 d=0.826466 t=66987
yu ce 	预测	c=9 d=0.116484 t=66987
yu chan qi 	预产期	c=1 d=2.17732e-07 t=66987
yu chi 	鱼翅	c=10 d=0.341578 t=66987
yu dao 	遇到	c=4 d=1.68839e-15 t=66987
yu ding 	预订	c=1 d=1.82386e-70 t=66987
yu er 	鱼饵	c=3 d=6.74661e-24 t=66987
yu fa 	语法	c=7 d=0.0160027 t=66987
yu fa 	预发	c=8 d=1.45002e-10 t=66987
yu fang 	预防	c=3 d=2.52659e-22 t=66987
yu ji 	预计	c=1 d=1.19551e-42 t=66987
yu ke wei 	郁可维	c=1 d=1.03144e-70 t=66987
yu lan 	预览	c=60 d=0.236928 t=66987
yu lan zhong 	预览中	c=3 d=8.177e-36 t=66987
yu le 	娱乐	c=1 d=0.0368832 t=66987
yu liu 	预留	c=2 d=3.79212e-05 t=66987
yu lun 	舆论	c=1 d=4.72688e-09 t=66987
yu ming 	域名	c=19 d=0.0066867 t=66987
yu ou 	鱼欧	c=1 d=1.55562e-22 t=66987
yu qi 	逾期	c=1 d=0.00404611 t=66987
yu qi 	预期	c=1 d=0.00402593 t=66987
yu re 	预热	c=3 d=3.9272e-05 t=66987
yu suan 	预算	c=1 d=5.99538e-41 t=66987
yu wan 	鱼丸	c=8 d=0.0777938 t=66987
yu wang 	渔网	c=34 d=1.57477e-14 t=66987
yu wen 	语文	c=3 d=4.89312e-40 t=66987
yu wo 	与我	c=1 d=5.17908e-25 t=66987
yu yan 	语言	c=12 d=0.0710394 t=66987
yu yan 	预言	c=2 d=9.25144e-122 t=66987
yu yin 	语音	c=41 d=9.08762e-19 t=66987
yu ying 	育英	c=1 d=1.69501e-61 t=66987
yu yong hu 	与用户	c=2 d=1.50626e-25 t=66987
yu yuan 	余元	c=1 d=4.32786e-89 t=66987
yu yue 	预约	c=12 d=2.84016e-31 t=66987
yu zhuang 	预装	c=1 d=1.29592e-79 t=66987
yuan 	元	c=3 d=0.157098 t=66987
yuan 	原	c=5 d=1.51798e-28 t=66987
yuan 	员	c=1 d=6.94292e-32 t=66987
yuan 	袁	c=1 d=0.752014 t=66987
yuan 	远	c=2 d=1.03486 t=66987
yuan ban 	原版	c=1 d=4.75867e-29 t=66987
yuan bao 	元宝	c=10 d=0.873716 t=66987
yuan cheng 	远程	c=12 d=4.41786e-39 t=66987
yuan dong tai 	原动态	c=1 d=4.26256e-116 t=66987
yuan duan 	远端	c=7 d=5.70201e-39 t=66987
yuan gong 	员工	c=0 d=1.0299e-24 t=66987
yuan jiao 	圆角	c=2 d=3.43258e-40 t=66987
yuan lai 	原来	c=3 d=4.02511e-30 t=66987
yuan li 	原理	c=4 d=5.01083e-40 t=66987
yuan li 	远离	c=1 d=1.93652e-128 t=66987
yuan ma 	源码	c=1 d=1.57983e-86 t=66987
yuan men 	远门	c=1 d=7.88856e-93 t=66987
yuan men 	院门	c=1 d=7.84922e-93 t=66987
yuan ming 	原名	c=1 d=8.66974e-145 t=66987
yuan qu 	院区	c=2 d=2.38189e-34 t=66987
yuan shen 	原神	c=1 d=5.74487e-127 t=66987
yuan sheng 	原生	c=14 d=1.80936e-13 t=66987
yuan shi 	原始	c=2 d=4.50173e-103 t=66987
yuan su 	元素	c=4 d=2.50358e-32 t=66987
yuan tou 	源头	c=1 d=5.38019e-32 t=66987
yuan tu 	原图	c=2 d=1.06452e-59 t=66987
yuan xian 	原先	c=2 d=1.25677e-34 t=66987
yuan xing 	原型	c=1 d=7.43748e-18 t=66987
yuan xing lian 	原型链	c=1 d=3.0655e-120 t=66987
yuan yi 	愿意	c=0 d=1.4797e-52 t=66987
yuan yi gao 	愿意搞	c=1 d=1.48712e-51 t=66987
yuan yin 	原因	c=28 d=0.0144798 t=66987
yuan yin le 	原因了	c=1 d=3.62923e-106 t=66987
yuan zi 	原子	c=1 d=2.48747e-103 t=66987
yue 	悦	c=5 d=0.486752 t=66987
yue 	月	c=88 d=2.87917 t=66987
yue 	约	c=4 d=0.0086517 t=66987
yue 	越	c=4 d=0.008271 t=66987
yue du liang 	阅读量	c=2 d=4.92244e-117 t=66987
yue gao 	越高	c=1 d=4.23653e-44 t=66987
yue ling 	月龄	c=1 d=5.30387e-11 t=66987
yue nong yue shen 	越弄越深	c=1 d=1.80105e-69 t=66987
yue shen 	越深	c=0 d=1.79207e-70 t=66987
yue zi 	月子	c=1 d=5.86534e-32 t=66987
yue zi hou 	月子后	c=1 d=5.81324e-31 t=66987
yue zi zhong xin 	月子中心	c=1 d=1.00031e-33 t=66987
yun 	云	c=11 d=3.68506e-21 t=66987
yun dong 	运动	c=6 d=0.00546167 t=66987
yun dong lei 	运动类	c=1 d=5.48141e-16 t=66987
yun dong yun dong 	运动运动	c=1 d=2.4002e-124 t=66987
yun fu 	孕妇	c=3 d=1.27546e-127 t=66987
yun guo qu 	晕过去	c=1 d=0.382893 t=66987
yun jiao 	韵脚	c=1 d=4.48125e-87 t=66987
yun pan 	云盘	c=2 d=6.47816e-11 t=66987
yun qi 	孕期	c=1 d=8.79178e-133 t=66987
yun suan 	运算	c=4 d=0.017953 t=66987
yun tian he 	云天河	c=1 d=0.060205 t=66987
yun tong 	孕酮	c=1 d=5.41123e-129 t=66987
yun tu 	孕吐	c=2 d=2.30043e-07 t=66987
yun wei 	运维	c=2 d=0.0409665 t=66987
yun wei 	韵味	c=1 d=2.77839e-22 t=66987
yun xing 	运行	c=22 d=0.213312 t=66987
yun xing dao 	运行到	c=1 d=5.32721e-92 t=66987
yun xing shi 	运行时	c=2 d=7.00435e-18 t=66987
yun xu 	允许	c=6 d=9.08386e-47 t=66987
yun ying 	运营	c=8 d=3.04252e-29 t=66987
yun ying shang 	运营商	c=1 d=0.124307 t=66987
yun yong 	运用	c=3 d=2.39594e-15 t=66987
yun you xi 	云游戏	c=1 d=3.12903e-126 t=66987
za 	咋	c=30 d=0.000234044 t=66987
za ban 	咋办	c=6 d=5.94198e-24 t=66987
za chu xian 	咋出现	c=1 d=4.74542e-55 t=66987
za gao 	咋搞	c=1 d=1.3846e-93 t=66987
za kai 	砸开	c=1 d=1.58429e-31 t=66987
za la 	咋啦	c=22 d=0.33454 t=66987
za pei 	咋配	c=1 d=2.48297e-23 t=66987
za qi 	扎起	c=1 d=1.26892e-96 t=66987
za shuo 	咋说	c=3 d=2.1817e-34 t=66987
za si 	砸死	c=0 d=9.24846e-24 t=66987
za suan 	咋算	c=1 d=0.00114197 t=66987
za xiang 	砸向	c=1 d=6.36008e-118 t=66987
za ya gao 	咋牙膏	c=1 d=1.33089e-10 t=66987
za yang 	咋样	c=12 d=0.29523 t=66987
za yang le 	咋样了	c=1 d=7.44761e-34 t=66987
za zuo 	咋做	c=1 d=3.56062e-58 t=66987
